mhd-term-id,mhd-term,mtbls-st4c,mtbls-term-id,mtbls-term,mw,instance-of
MS_1000854,LTQ XL,Thermo Scientific LTQ XL linear ion trap,MTBLS_000653,Thermo Scientific LTQ XL linear ion trap,Thermo LTQ XL,Mass spectrometry instrument
MS_1000855,LTQ Velos,,,,,Mass spectrometry instrument
MS_1000856,LTQ Velos/ETD,,,,,Mass spectrometry instrument
MS_1000931,QTRAP 5500,AB SCIEX QTRAP 5500,MTBLS_000598,AB SCIEX QTRAP 5500,ABI Sciex 5500 QTrap,Mass spectrometry instrument
MS_1000932,TripleTOF 5600,AB SCIEX TripleTOF 5600,MTBLS_000601,AB SCIEX TripleTOF 5600,ABI Sciex 5600 TripleTOF,Mass spectrometry instrument
MS_1000935,6470A Triple Quadrupole LC/MS,,,,Agilent 6470A,Mass spectrometry instrument
MS_1000936,6470B Triple Quadrupole LC/MS,Agilent 6470B Triple Quadrupole,MTBLS_002095,Agilent 6470B Triple Quadrupole,,Mass spectrometry instrument
MS_1000937,6495C Triple Quadrupole LC/MS,,,,,Mass spectrometry instrument
MS_1001482,5800 TOF/TOF,AB SCIEX TOF/TOF 5800,MTBLS_000550,AB SCIEX TOF/TOF 5800,,Mass spectrometry instrument
MS_1001510,TSQ Vantage,Thermo Scientific TSQ Vantage,MTBLS_000665,Thermo Scientific TSQ Vantage,Thermo TSQ Vantage,Mass spectrometry instrument
MS_1001537,BioTOF,,,,,Mass spectrometry instrument
MS_1001538,BioTOF III,,,,,Mass spectrometry instrument
MS_1001539,UltroTOF-Q,,,,,Mass spectrometry instrument
MS_1001540,micrOTOF II,Bruker micrOTOF II,,,Bruker MicrOTOF II,Mass spectrometry instrument
MS_1001541,maXis,Bruker maXis UHR-ToF,MTBLS_000629,Bruker maXis UHR-ToF,,Mass spectrometry instrument
MS_1001542,amaZon ETD,,,,,Mass spectrometry instrument
MS_1001543,microflex LRF,,,,,Mass spectrometry instrument
MS_1001544,ultrafleXtreme,Bruker ultrafleXtreme,MTBLS_000551,Bruker ultrafleXtreme,,Mass spectrometry instrument
MS_1001546,amaZon X,,,,,Mass spectrometry instrument
MS_1001549,solariX,Bruker solariX FTMS,MTBLS_000636,Bruker solariX FTMS,Bruker Solarix FT-ICR-MS,Mass spectrometry instrument
MS_1001550,microflex II,,,,,Mass spectrometry instrument
MS_1001553,autoflex II TOF/TOF,,,,,Mass spectrometry instrument
MS_1001554,autoflex III TOF/TOF smartbeam,,,,,Mass spectrometry instrument
MS_1001555,autoflex,Bruker autoflex MALDI-TOF,,,Bruker Autoflex MALDI-TOF,Mass spectrometry instrument
MS_1001742,LTQ Orbitrap Velos,Thermo Scientific LTQ Orbitrap Velos,MTBLS_000650,Thermo Scientific LTQ Orbitrap Velos,Thermo Orbitrap Velos; Thermo Velos LTQ Orbitrap,Mass spectrometry instrument
MS_1001770,GCT Premier,Waters GCT Premier,MTBLS_001003,Waters GCT Premier,,Mass spectrometry instrument
MS_1001771,MALDI Synapt G2 HDMS,,,,,Mass spectrometry instrument
MS_1001772,MALDI Synapt G2 MS,,,,,Mass spectrometry instrument
MS_1001773,MALDI Synapt G2-S HDMS,,,,,Mass spectrometry instrument
MS_1001774,MALDI Synapt G2-S MS,,,,,Mass spectrometry instrument
MS_1001775,MALDI Synapt HDMS,,,,,Mass spectrometry instrument
MS_1001776,MALDI Synapt MS,,,,,Mass spectrometry instrument
MS_1001777,Synapt G2 HDMS,Waters SYNAPT G2 HDMS System,MTBLS_000674,Waters SYNAPT G2 HDMS System,,Mass spectrometry instrument
MS_1001778,Synapt G2 MS,,,,Waters Synapt G2 QTOF,Mass spectrometry instrument
MS_1001779,Synapt G2-S HDMS,Waters SYNAPT G2-S HDMS,MTBLS_000675,Waters SYNAPT G2-S HDMS,,Mass spectrometry instrument
MS_1001780,Synapt G2-S MS,Waters SYNAPT G2-S,MTBLS_002262,Waters SYNAPT G2-S,Waters Synapt G2 S QTOF,Mass spectrometry instrument
MS_1001781,Synapt HDMS,Waters SYNAPT HDMS System,MTBLS_000677,Waters SYNAPT HDMS System,,Mass spectrometry instrument
MS_1001782,Synapt MS,,,,,Mass spectrometry instrument
MS_1001783,Xevo G2 Q-Tof,Waters Xevo G2 QTof,MTBLS_000679,Waters Xevo G2 QTof,,Mass spectrometry instrument
MS_1001784,Xevo G2 Tof,Waters Xevo G2 Tof,MTBLS_000678,Waters Xevo G2 Tof,,Mass spectrometry instrument
MS_1001785,Xevo Q-Tof,,,,,Mass spectrometry instrument
MS_1001786,3100,,,,,Mass spectrometry instrument
MS_1001787,Acquity SQD,,,,,Mass spectrometry instrument
MS_1001788,Acquity TQD,Waters ACQUITY TQD,MTBLS_000667,Waters ACQUITY TQD,,Mass spectrometry instrument
MS_1001789,Quattro micro GC,,,,,Mass spectrometry instrument
MS_1001790,Xevo TQ MS,Waters Xevo TQ; Waters Xevo TQ MS,MTBLS_000684; MTBLS_000683,Waters Xevo TQ MS; Waters Xevo TQ,Waters Xevo-TQ,Mass spectrometry instrument
MS_1001791,Xevo TQD,Waters Xevo TQD,,,,Mass spectrometry instrument
MS_1001792,Xevo TQ-S,Waters Xevo TQ-S,MTBLS_000685,Waters Xevo TQ-S,Waters Xevo-TQ-S,Mass spectrometry instrument
MS_1001801,Pegasus HRT,LECO Pegasus GC-HRT,MTBLS_000992,LECO Pegasus GC-HRT,,Mass spectrometry instrument
MS_1001802,Citius HRT,,,,Leco Citius LC-HRT,Mass spectrometry instrument
MS_1001803,Pegasus,LECO Pegasus,MTBLS_001004,LECO Pegasus,,Mass spectrometry instrument
MS_1001804,TruTOF,,,,,Mass spectrometry instrument
MS_1001908,ISQ,Thermo Scientific ISQ,MTBLS_001018,Thermo Scientific ISQ,,Mass spectrometry instrument
MS_1001909,Velos Plus,,,,,Mass spectrometry instrument
MS_1001910,Orbitrap Elite,Thermo Scientific Orbitrap Elite,MTBLS_000654,Thermo Scientific Orbitrap Elite,Thermo Orbitrap Elite Hybrid Ion Trap-Orbitrap,Mass spectrometry instrument
MS_1001911,Q Exactive,Thermo Scientific Q Exactive; Thermo Q Exactive Orbitrap,MTBLS_000658,Thermo Scientific Q Exactive,Thermo Q Exactive Orbitrap,Mass spectrometry instrument
MS_1001945,Pegasus 4D,LECO Pegasus 4D; LECO Pegasus 4D GCxGC-TOFMS,MTBLS_002301; MTBLS_001000,LECO Pegasus 4D GCxGC-TOFMS; LECO Pegasus 4D,Leco Pegasus 4D GCxGC TOF,Mass spectrometry instrument
MS_1002077,impact,,,,,Mass spectrometry instrument
MS_1002274,SQ Detector 2,,,,,Mass spectrometry instrument
MS_1002275,Xevo G2-S Tof,Waters Xevo G2-S Tof,MTBLS_000681,Waters Xevo G2-S Tof,Waters Xevo-G2-S,Mass spectrometry instrument
MS_1002276,Xevo G2-S QTof,Waters Xevo G2-S QTof,MTBLS_000680,Waters Xevo G2-S QTof,,Mass spectrometry instrument
MS_1002277,AutoSpec Premier,,,,,Mass spectrometry instrument
MS_1002278,Pegasus III,LECO Pegasus III,MTBLS_000993,LECO Pegasus III,Leco Pegasus III GC TOF,Mass spectrometry instrument
MS_1002279,maXis 4G,Bruker maXis 4G UHR-ToF,MTBLS_000630,Bruker maXis 4G UHR-ToF,,Mass spectrometry instrument
MS_1002280,compact,Bruker compact,MTBLS_000624,Bruker compact,,Mass spectrometry instrument
MS_1002295,SCION SQ,,,,,Mass spectrometry instrument
MS_1002296,SCION TQ,,,,,Mass spectrometry instrument
MS_1002297,EVOQ Elite,,,,,Mass spectrometry instrument
MS_1002298,EVOQ Qube,,,,,Mass spectrometry instrument
MS_1002299,micrOTOF-Q III,Bruker micrOTOF-Q III,MTBLS_000634,Bruker micrOTOF-Q III,,Mass spectrometry instrument
MS_1002300,amaZon Speed ETD,,,,,Mass spectrometry instrument
MS_1002301,amaZon Speed,,,,,Mass spectrometry instrument
MS_1002382,Shimadzu MALDI-7090,,,,,Mass spectrometry instrument
MS_1002416,Orbitrap Fusion,Thermo Scientific Orbitrap Fusion,MTBLS_000655,Thermo Scientific Orbitrap Fusion,Thermo Fusion Orbitrap; Thermo Fusion Tribrid Orbitrap,Mass spectrometry instrument
MS_1002417,Orbitrap Fusion ETD,,,,,Mass spectrometry instrument
MS_1002418,TSQ Quantiva,Thermo Scientific TSQ Quantiva,MTBLS_000662,Thermo Scientific TSQ Quantiva,Thermo TSQ Quantiva,Mass spectrometry instrument
MS_1002419,TSQ Endura,,,,,Mass spectrometry instrument
MS_1002444,6420 Triple Quadrupole LC/MS,,,,,Mass spectrometry instrument
MS_1002445,6460 Triple Quadrupole LC/MS,Agilent 6460 Triple Quadrupole,MTBLS_000609,Agilent 6460 Triple Quadrupole,Agilent 6460 QQQ,Mass spectrometry instrument
MS_1002446,6490 Triple Quadrupole LC/MS,Agilent 6490 Triple Quadrupole,MTBLS_000610,Agilent 6490 Triple Quadrupole,Agilent 6490 QQQ,Mass spectrometry instrument
MS_1002523,Q Exactive HF,Thermo Scientific Q Exactive HF,MTBLS_000660,Thermo Scientific Q Exactive HF,Thermo Q Exactive HF hybrid Orbitrap,Mass spectrometry instrument
MS_1002525,TSQ 8000 Evo,,,,Thermo TSQ 8000 Evo,Mass spectrometry instrument
MS_1002526,Exactive Plus,Thermo Scientific Exactive Plus,MTBLS_000641,Thermo Scientific Exactive Plus,Thermo Exactive Plus Orbitrap,Mass spectrometry instrument
MS_1002533,TripleTOF 6600,AB SCIEX TripleTOF 6600,MTBLS_000603,AB SCIEX TripleTOF 6600,ABI Sciex 6600 TripleTOF,Mass spectrometry instrument
MS_1002577,2000 QTRAP,,,,,Mass spectrometry instrument
MS_1002578,2500 QTRAP,,,,,Mass spectrometry instrument
MS_1002579,3500 QTRAP,,,,,Mass spectrometry instrument
MS_1002580,QTRAP 4500,AB SCIEX QTRAP 4500,MTBLS_000595,AB SCIEX QTRAP 4500,ABI Sciex 4500 QTrap,Mass spectrometry instrument
MS_1002581,QTRAP 6500,AB SCIEX QTRAP 6500,MTBLS_000599,AB SCIEX QTRAP 6500,ABI Sciex 6500 QTrap,Mass spectrometry instrument
