mhd-term-id,mhd-term,mtbls-st4c,mtbls-term-id,mtbls-term,mw,instance-of
MS_1003666,Chromaster,,,,,Liquid chromatography instrument
MS_1003667,Chromaster RS,,,,,Liquid chromatography instrument
MS_1003669,X-LC Series,JASCO X-LC 3085PU HPLC pump,MTBLS_000909,JASCO X-LC 3085PU HPLC pump,,Liquid chromatography instrument
MS_1003670,LC-4000 Series,,,,,Liquid chromatography instrument
MS_1003671,LC-2000 Series,,,,,Liquid chromatography instrument
MS_1003673,LC-10,Shimadzu LC-10AD pump and SCL-10A controller,MTBLS_000913,Shimadzu LC-10AD pump and SCL-10A controller,Shimadzu 10A,Liquid chromatography instrument
MS_1003674,Nexera LC-20,Shimadzu Nexera LC-20,,,Shimadzu 20AD,Liquid chromatography instrument
MS_1003675,Nexera LC-30,Shimadzu LC-30AD pump and CBM-20A controller; Shimadzu LC-30A Nexera UHPLC system; Shimadzu Nexera UHPLC system (CBM-30A controller); Shimadzu Nexera UHPLC system (LC-30AD pump and CBM-20A controller); Shimadzu Nexera UHPLC system (LC-30AD pump and SPD-M20A detector); Shimadzu Nexera UHPLC system,MTBLS_000867; MTBLS_000862; MTBLS_002218; MTBLS_000898; MTBLS_002219; MTBLS_000887,Shimadzu LC-30AD pump and CBM-20A controller; Shimadzu LC-30A Nexera UHPLC system; Shimadzu Nexera UHPLC system (CBM-30A controller); Shimadzu Nexera UHPLC system (LC-30AD pump and CBM-20A controller); Shimadzu Nexera UHPLC system (LC-30AD pump and SPD-M20A detector); Shimadzu Nexera UHPLC system,,Liquid chromatography instrument
MS_1003676,Nexera X2 LC-30,"Shimadzu Nexera X2 UHPLC system (binary pump, DGU-20A degasser, and CBM-20A controller)",MTBLS_000895,"Shimadzu Nexera X2 UHPLC system (binary pump, DGU-20A degasser, and CBM-20A controller)",Shimadzu Nexera X2,Liquid chromatography instrument
MS_1003677,Nexera LC-40,Shimadzu Nexera LC-40 UHPLC system,,,,Liquid chromatography instrument
MS_1003678,Prominence LC-20,Shimadzu Prominence LC-20AD system; Shimadzu Prominence HPLC system; Shimadzu SIL20-A LC system,MTBLS_000910; MTBLS_000901; MTBLS_000912,Shimadzu Prominence LC-20AD system; Shimadzu Prominence HPLC system; Shimadzu SIL20-A LC system,,Liquid chromatography instrument
MS_1003679,Prominence UFLC,Shimadzu Prominence UFLC system,MTBLS_000859,Shimadzu Prominence UFLC system,,Liquid chromatography instrument
MS_1003680,Prominence UFLC XR,Shimadzu Prominence UFLCXR system,MTBLS_000874,Shimadzu Prominence UFLCXR system,,Liquid chromatography instrument
MS_1003681,LC-2040C 3D Nexera-i,Shimadzu LC-2040C 3D Nexera-i,MTBLS_002212,Shimadzu LC-2040C 3D Nexera-i,,Liquid chromatography instrument
MS_1003682,Prominence Plus LC-30,Shimadzu Prominence Plus LC-30A UHPLC,,,,Liquid chromatography instrument
MS_1003684,Accela,Thermo Scientific Accela UHPLC System; Thermo Scientific Accela 1250 Pump; Thermo Scientific Accela 600 Pump,MTBLS_000861; MTBLS_000906; MTBLS_000900,Thermo Scientific Accela UHPLC System; Thermo Scientific Accela 1250 Pump; Thermo Scientific Accela 600 Pump,Thermo Accela 1250; Thermo Accela 600; Thermo Accela CTC,Liquid chromatography instrument
MS_1003685,Accela II,Thermo Scientific Accela II HPLC system,MTBLS_000873,Thermo Scientific Accela II HPLC system,,Liquid chromatography instrument
MS_1003686,Dionex Integrion HPIC,Thermo Scientific Dionex Integrion HPIC System,MTBLS_002237,Thermo Scientific Dionex Integrion HPIC System,,Liquid chromatography instrument
MS_1003687,Dionex Integrion RFIC,Thermo Scientific Dionex Integrion RFIC System,MTBLS_002238,Thermo Scientific Dionex Integrion RFIC System,,Liquid chromatography instrument
MS_1003691,Dionex UltiMate 3000 XRS,Thermo Scientific Dionex UltiMate 3000 XRS System,MTBLS_000884,Thermo Scientific Dionex UltiMate 3000 XRS System,,Liquid chromatography instrument
MS_1003692,EASY-nLC 1000,Thermo Scientific EASY-nLC 1000 System (UPLC),MTBLS_000879,Thermo Scientific EASY-nLC 1000 System (UPLC),,Liquid chromatography instrument
MS_1003693,EASY-nLC 1200,Thermo Scientific EASY-nLC 1200 System (UPLC),MTBLS_000908,Thermo Scientific EASY-nLC 1200 System (UPLC),,Liquid chromatography instrument
MS_1003694,Surveyor,Thermo Scientific Surveyor HPLC system; Thermo Scientific Surveyor MS Pump Plus,MTBLS_000863; MTBLS_000892,Thermo Scientific Surveyor HPLC system; Thermo Scientific Surveyor MS Pump Plus,,Liquid chromatography instrument
MS_1003698,Vanquish,Thermo Scientific Vanquish UHPLC System,MTBLS_000858,Thermo Scientific Vanquish UHPLC System,Thermo Vanquish,Liquid chromatography instrument
MS_1003699,Dionex ICS-5000+,,,,Thermo Dionex ICS-5000+,Liquid chromatography instrument
MS_1003700,Proxeon EASY-nLC II,Proxeon EASY-nLC II,,,,Liquid chromatography instrument
MS_1003701,Cohesive Technologies TX2,,,,Cohesive TX2,Liquid chromatography instrument
MS_1003702,Rheos Allegro,Flux Rheos Allegro UHPLC pump,MTBLS_000869,Flux Rheos Allegro UHPLC pump,,Liquid chromatography instrument
MS_1003703,Rheos 2000 Micro,,,,,Liquid chromatography instrument
MS_1003704,Rheos 2200 Micro,,,,,Liquid chromatography instrument
MS_1003705,1525 Micro,Waters 1525 Micro Binary HPLC Pump,MTBLS_000865,Waters 1525 Micro Binary HPLC Pump,,Liquid chromatography instrument
MS_1003706,ACQUITY Premier,Waters ACQUITY Premier System,,,,Liquid chromatography instrument
MS_1003707,ACQUITY UPLC H-Class PLUS,Waters ACQUITY UPLC H-Class PLUS System,,,,Liquid chromatography instrument
MS_1003708,ACQUITY UPLC I-Class PLUS,Waters ACQUITY UPLC I-Class PLUS System,MTBLS_002261,Waters ACQUITY UPLC I-Class PLUS System,,Liquid chromatography instrument
MS_1003709,ACQUITY UPLC M-Class,Waters ACQUITY UPLC M-Class System,MTBLS_000903,Waters ACQUITY UPLC M-Class System,,Liquid chromatography instrument
MS_1003710,Alliance 2695 Separations Module,Waters Alliance 2695 Separations Module (modified),MTBLS_000915,Waters Alliance 2695 Separations Module (modified),,Liquid chromatography instrument
MS_1003623,1200 SL,,,,Agilent 1200SL,Liquid chromatography instrument
MS_1003688,Dionex UltiMate 3000 RSLC,Thermo Scientific Dionex UltiMate 3000 RSLC System,MTBLS_000907,Thermo Scientific Dionex UltiMate 3000 RSLC System,Thermo Dionex Ultimate 3000 RS,Liquid chromatography instrument
MS_1003689,Dionex UltiMate 3000 RSLCnano,Thermo Scientific Dionex UltiMate 3000 RSLCnano System,MTBLS_000860,Thermo Scientific Dionex UltiMate 3000 RSLCnano System,,Liquid chromatography instrument
MS_1003690,Dionex UltiMate 3000,Thermo Scientific Dionex Ultimate 3000 HPLC system; Thermo Scientific Dionex UltiMate 3000 System; Thermo Scientific Dionex Ultimate 3000 UHPLC system; Thermo Scientific Dionex UltiMate HPLC system; Thermo Scientific Dionex UltiMate LC system; Thermo Scientific UltiMate 3000 Standard HPLC system,MTBLS_000883; MTBLS_000885; MTBLS_000914; MTBLS_000899; MTBLS_000888; MTBLS_002249,Thermo Scientific Dionex Ultimate 3000 HPLC system; Thermo Scientific Dionex UltiMate 3000 System; Thermo Scientific Dionex Ultimate 3000 UHPLC system; Thermo Scientific Dionex UltiMate HPLC system; Thermo Scientific Dionex UltiMate LC system; Thermo Scientific UltiMate 3000 Standard HPLC system,Thermo Dionex Ultimate 3000,Liquid chromatography instrument
MS_1003695,Vanquish Duo,Thermo Scientific Vanquish Duo UHPLC System,,,,Liquid chromatography instrument
MS_1003696,Vanquish Flex,Thermo Scientific Vanquish Flex UHPLC System,MTBLS_002252,Thermo Scientific Vanquish Flex UHPLC System,,Liquid chromatography instrument
MS_1003697,Vanquish Horizon,Thermo Scientific Vanquish Horizon UHPLC System,,,,Liquid chromatography instrument
MS_1003396,8890,Agilent 8890 GC,MTBLS_002099,Agilent 8890 GC,,Gas chromatography instrument
MS_1003732,6890N,Agilent 6890N GC,MTBLS_000918,Agilent 6890N GC,Agilent 6890N,Gas chromatography instrument
MS_1003740,6890,Agilent 6890 GC,MTBLS_000934,Agilent 6890 GC,,Gas chromatography instrument
MS_1003741,7890A,Agilent 7890A GC,MTBLS_000922,Agilent 7890A GC,Agilent 7890A,Gas chromatography instrument
MS_1003742,7890B,Agilent 7890B GC,MTBLS_000933,Agilent 7890B GC,Agilent 7890B,Gas chromatography instrument
MS_1003743,8860,Agilent 8860 GC,MTBLS_000935,Agilent 8860 GC,,Gas chromatography instrument
MS_1003744,8890B,Agilent 8890B GC,,,,Gas chromatography instrument
MS_1003746,5890 Series,Hewlett Packard 5890 Series GC,MTBLS_002153,Hewlett Packard 5890 Series GC,,Gas chromatography instrument
MS_1003747,5890 Series II,,,,,Gas chromatography instrument
MS_1003749,AutoSystem XL GC,PerkinElmer AutoSystem XL GC,MTBLS_000931,PerkinElmer AutoSystem XL GC,,Gas chromatography instrument
MS_1003751,GC-2010 Plus,Shimadzu GC-2010 Plus,MTBLS_002211,Shimadzu GC-2010 Plus,,Gas chromatography instrument
MS_1003752,GC-2010 Pro,,,,,Gas chromatography instrument
MS_1003753,GC-17A,Shimadzu GC-17A,MTBLS_000932,Shimadzu GC-17A,,Gas chromatography instrument
MS_1003754,GC-2010,Shimadzu GC-2010,MTBLS_000927,Shimadzu GC-2010,Shimadzu GC-2010,Gas chromatography instrument
MS_1003756,TRACE 1300,Thermo Scientific TRACE 1300 GC,MTBLS_002244,Thermo Scientific TRACE 1300 GC,,Gas chromatography instrument
MS_1003757,TRACE 1310,Thermo Scientific TRACE 1310 GC,MTBLS_000930,Thermo Scientific TRACE 1310 GC,Thermo Trace 1310,Gas chromatography instrument
MS_1003758,TRACE GC,Thermo Electron TRACE GC,MTBLS_000919,Thermo Electron TRACE GC,,Gas chromatography instrument
MS_1003759,TRACE GC Ultra,Thermo Electron TRACE GC Ultra; Thermo Scientific TRACE GC Ultra,MTBLS_000924; MTBLS_000921,Thermo Scientific TRACE GC Ultra; Thermo Electron TRACE GC Ultra,,Gas chromatography instrument
MS_1003760,FOCUS GC,Thermo Electron FOCUS GC,MTBLS_000929,Thermo Electron FOCUS GC,,Gas chromatography instrument
